City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
298,Tura,IN,62.85,25.5198,90.2201,Hotel RIKMAN Continental
307,San Joaquin,US,74.79,37.9333,-121.3011,University Plaza Waterfront Hotel
317,Lukulu,ZM,72.41,-14.3707,23.242,Ruth Guest House
322,Abu Samrah,SY,62.15,35.3029,37.1841,
323,Jian,CN,62.96,27.1172,114.9793,Luling International Hotel
333,Mount Isa,AU,71.37,-20.7333,139.5,ibis Styles Mt Isa Verona
335,Ambilobe,MG,74.57,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
338,Corinto,GR,66.69,37.9407,22.9573,Ephira Hotel
339,Byron Bay,AU,67.05,-28.65,153.6167,Backpackers Inn on the Beach
342,Bukama,CD,69.55,-9.2,25.85,
349,Sungaipenuh,ID,63.9,-2.0833,101.3833,penginapan citra alam
351,Bintulu,MY,73.81,3.1667,113.0333,900 Boutique INN
354,Fort Stewart,US,69.89,31.8722,-81.61,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
356,Moche,PE,66.38,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
359,Mahebourg,MU,73.69,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
363,Yeppoon,AU,67.78,-23.1333,150.7333,Villa Mar Colina
367,Koumac,NC,74.1,-20.5667,164.2833,Le Monitel
373,Meadow Lake,US,66.33,34.8014,-106.5436,TumbleWeed RV Park
374,Mau,IN,67.82,25.95,83.55,Ashirwad AC Marriage Hall & Hotel
380,Alice Springs,AU,65.75,-23.7,133.8833,Desert Palms Alice Springs
382,Kuruman,ZA,63.99,-27.4524,23.4325,Cornerstone Guest House
387,Vianopolis,BR,69.49,-16.7419,-48.5164,FM Materiais para Construção _ Vianopolis
388,Jieshi,CN,72.39,22.8134,115.8257,Yuehai Hotel
399,Shaowu,CN,63.9,27.3409,117.4831,Yijie Express Hotel
426,Chimbote,PE,67.05,-9.0853,-78.5783,Hotel Viera Chimbote
428,Chapada Dos Guimaraes,BR,73.06,-15.4606,-55.7497,Pousada Morro Dos Ventos
429,Ponta Delgada,PT,67.5,37.7333,-25.6667,Vila Nova Hotel
431,Cidreira,BR,68.59,-30.1811,-50.2056,Hotel Castelo
445,Amuntai,ID,74.37,-2.4177,115.2494,Hotel Balqis
450,Itoman,JP,69.82,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
455,Nishihara,JP,69.08,26.1842,127.7558,Minshuku Agaihama
459,Poum,NC,72.61,-20.2333,164.0167,Gîte kajeon
467,Lithakia,GR,64.58,37.7167,20.8333,Zante Plaza Hotel & Apartments
470,Hargeysa,SO,64.85,9.56,44.065,City Center Hotel
483,Port Townsend,US,60.04,48.117,-122.7605,Aladdin Inn
488,Melfi,IT,67.5,40.9965,15.6514,HOTEL TERME DI RAPOLLA
493,Paita,PE,72.16,-5.0892,-81.1144,Hotel Náutico de Paita
494,Pilar Do Sul,BR,68.97,-23.8131,-47.7164,HOTEL CENTRAL
500,Camabatela,AO,64.2,-8.1881,15.375,Pensão E Restaurantes
505,Kasongo-Lunda,CD,70.47,-6.4667,16.8167,
507,Port Shepstone,ZA,65.37,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
509,Yanam,IN,74.46,16.7333,82.2167,The Regency Hotel
511,Gat,IL,68.81,31.61,34.7642,OlusHome
514,Jingdezhen,CN,60.91,29.2947,117.2079,Garden Hotel
523,Pimentel,PE,71.89,-6.8367,-79.9342,Casona Del Muelle
529,Majengo,TZ,74.8,-5.15,38.9833,
530,Tangier,MA,61.86,35.7806,-5.8137,Hotel Rembrandt
535,Doume,CM,67.17,4.2333,13.45,Hotel Universel
539,Illapel,CL,70.2,-31.6308,-71.1653,Hotel Londres
552,Richards Bay,ZA,63.88,-28.783,32.0377,BON Hotel Waterfront Richards Bay
554,Pocoes,BR,72.19,-14.5297,-40.3653,Poções Palace Hotel
555,Payo,ID,71.62,-3.7508,103.6372,Mess keban agung
559,Sambava,MG,73.83,-14.2667,50.1667,Melrose
567,Camacha,PT,69.53,33.0833,-16.3333,Hotel Porto Santo & Spa
